mode,rope_length_m,window,direction,start_boot_s,end_boot_s,sample_count,a_position_rms_m_s2,a_position_p95_m_s2,a_position_peak_m_s2,a_position_band_055_075_energy,a_tracking_rms_m_s2,a_tracking_p95_m_s2,a_tracking_peak_m_s2,a_tracking_band_055_075_energy,a_observer_error_rms_m_s2,a_observer_error_p95_m_s2,a_observer_error_peak_m_s2,a_observer_error_band_055_075_energy,a_velocity_total_rms_m_s2,a_velocity_total_p95_m_s2,a_velocity_total_peak_m_s2,a_velocity_total_band_055_075_energy,a_velocity_total_jerk_rms_m_s3,a_velocity_total_jerk_p95_m_s3,a_velocity_total_jerk_peak_m_s3,a_nominal_rms_m_s2,a_nominal_p95_m_s2,a_nominal_peak_m_s2,a_nominal_band_055_075_energy,a_nominal_jerk_rms_m_s3,a_nominal_jerk_p95_m_s3,a_nominal_jerk_peak_m_s3,a_z3_rms_m_s2,a_z3_p95_m_s2,a_z3_peak_m_s2,a_z3_band_055_075_energy,a_as_rms_m_s2,a_as_p95_m_s2,a_as_peak_m_s2,a_as_band_055_075_energy,a_pas_rms_m_s2,a_pas_p95_m_s2,a_pas_peak_m_s2,a_pas_band_055_075_energy,a_final_rms_m_s2,a_final_p95_m_s2,a_final_peak_m_s2,a_final_band_055_075_energy,a_final_jerk_rms_m_s3,a_final_jerk_p95_m_s3,a_final_jerk_peak_m_s3,p_position_positive_integral,p_position_negative_integral,p_position_net_integral,p_position_mean,p_tracking_positive_integral,p_tracking_negative_integral,p_tracking_net_integral,p_tracking_mean,p_observer_error_positive_integral,p_observer_error_negative_integral,p_observer_error_net_integral,p_observer_error_mean,p_velocity_total_positive_integral,p_velocity_total_negative_integral,p_velocity_total_net_integral,p_velocity_total_mean,p_nominal_positive_integral,p_nominal_negative_integral,p_nominal_net_integral,p_nominal_mean,p_z3_positive_integral,p_z3_negative_integral,p_z3_net_integral,p_z3_mean,p_as_positive_integral,p_as_negative_integral,p_as_net_integral,p_as_mean,p_pas_positive_integral,p_pas_negative_integral,p_pas_net_integral,p_pas_mean,p_final_positive_integral,p_final_negative_integral,p_final_net_integral,p_final_mean
STD_L06_FULL_W05,0.6,route,all,48.008,104.188,7021,0.028486287881030328,0.052683553978137815,0.09837827952331399,1.425791527055226e-05,0.07852486565735493,0.15563912991565526,0.2673550242477419,0.0009869909367048017,0.030725420277147412,0.058633334718032955,0.0915524453289325,0.0001559059096199457,0.05878302519431258,0.12664921487330028,0.18917781334528308,0.000522202046220736,0.7991177060542964,1.0773640344526236,7.699343630486475,0.06252617275017257,0.13613196723526064,0.23246499859790312,0.000496814626284568,0.9692135668963463,2.0141220916447478,8.489732030112702,0.032320329552584924,0.06176589906449417,0.07499667789050289,2.9775495597366286e-05,0.06666062832213125,0.18528710018710326,0.20000001399246733,0.001998058801260058,0.019600946115067578,0.07999999087131125,0.0800000087312284,6.401523146892622e-05,0.19337573894208734,0.4774520534637245,0.8000000867328113,0.000870538178494038,1.5243538005203858,2.291877398845099,16.523430188518056,0.039571737402166296,-0.053881013167027834,-0.014309275764861538,-0.0002550127521915315,0.09486958900033024,-0.1723859767134871,-0.07751638771315686,-0.001376100437035399,0.08188877807197675,-0.015321623927014114,0.06656715414496261,0.0011840135774373772,0.09432230530629745,-0.10527153841786951,-0.010949233111572056,-0.00019208685135242435,0.09777415403956118,-0.12303266283411773,-0.02525850879455656,-0.00044709960215199646,0.04891155141150226,-0.04636326188873638,0.00254828952276589,4.64370781342521e-05,0.0,-0.33238964603956944,-0.33238964603956944,-0.005915550262403401,3.417322775930646e-06,-0.04808947493654704,-0.048086057613771105,-0.0008560740906950616,0.27570986417678206,-0.46121367814321834,-0.18550381396643625,-0.0032972514372120263
STD_L06_FULL_W05,0.6,north_move,north,53.248000000000005,59.432,773,0.025108607938678824,0.04597860785519755,0.07186518152913941,0.0,0.08896074074770466,0.1527627183826345,0.1721120584877342,0.0,0.03249741493649566,0.06275777678826745,0.06642272490274145,0.0,0.06903679272444897,0.13190002440963214,0.15578530434542226,0.0,1.1896293199868162,1.2537815041926994,7.156111825843784,0.07796546986402467,0.15999199339121034,0.1984628331116915,0.0,1.4505346553320568,2.3747243982693145,8.489732030112702,0.039722730521151065,0.06204928278619749,0.06360224397210047,0.0,0.08173346391349337,0.19401561716825444,0.20000001148807195,0.0,0.028994674142170673,0.07999999791037138,0.08000000483653791,0.0,0.2670273446890025,0.6034960060442744,0.8000000468609016,0.0,2.2408928329946565,2.990125410441076,14.736092093530273,0.0043196185044689275,-0.006475103661088727,-0.002155485156619798,-0.0003509861690854403,0.022091535724837724,-0.020927317509936934,0.0011642182149007889,0.00017871672423685174,0.010082326203656063,-0.0034660386501273025,0.0066162875535287595,0.0010714268890748761,0.020184218247978586,-0.012403711896788946,0.007780506351189644,0.0012501437066989938,0.02108436522047482,-0.01545934400140046,0.005625021219074362,0.0008991575404601366,0.007941598757915922,-0.008356781265403696,-0.00041518250748777516,-6.635101486928648e-05,0.0,-0.05369922084268945,-0.05369922084268945,-0.00868935678280177,0.0,-0.01165238603547913,-0.01165238603547913,-0.001884279759941646,0.06692859043001828,-0.06956350400445804,-0.0026349135744397414,-0.0004415327032417403
STD_L06_FULL_W05,0.6,north_accel,north,53.248000000000005,54.248000000000005,125,0.018832195215113975,0.039231474821954375,0.04609886747612671,nan,0.09446168762233555,0.14755757771703415,0.1622768667362262,nan,0.03486732537068876,0.06277073287169183,0.0642430840604458,nan,0.07353646054483362,0.1347163494413297,0.14971496393121983,nan,2.0646499811988277,5.947951059865901,7.156111825843784,0.09089442203825773,0.17372444210484006,0.1952927880102797,nan,2.483673202198326,7.182959245877631,8.489732030112702,0.02938093170167822,0.045102192595071054,0.045191370604216144,nan,0.10818063000010829,0.19999998944644462,0.20000000726589848,nan,0.046398582429811486,0.08000000124293423,0.08000000440682126,nan,0.46237725994276935,0.712722070760501,0.8000000468609016,nan,3.8155485755978717,11.387889627784032,14.736092093530273,0.001926379866345061,-0.00020075636617184535,0.0017256235001732155,0.0017352126635887543,0.00826563049317331,-0.0026789764773566256,0.005586654015816687,0.005620173452422023,0.0012963092199061075,-0.0012364520315313733,5.985718837473429e-05,5.9464295976795256e-05,0.007161639244707589,-0.0015151277849217812,0.005646511459785807,0.005679638005623019,0.009067862347466777,-0.0016957274251108115,0.007372134922355965,0.0074148506257261035,0.0032120114308781937,-0.0004159000737126918,0.002796111357165502,0.002808492998301517,0.0,-0.014738692497441674,-0.014738692497441674,-0.014756538936992001,0.0,-0.005425600728020076,-0.005425600728020076,-0.0054492980763316155,0.033824866950511984,-0.015900518118636683,0.017924348831875297,0.01799715589080006
STD_L06_FULL_W05,0.6,north_cruise,north,54.248000000000005,58.432,523,0.02698349963269378,0.05129369358486413,0.07186518152913941,nan,0.07981361990055665,0.14390607656756688,0.16045624171702147,nan,0.031112820690012262,0.06360259363635992,0.06642272490274145,nan,0.059785549023576454,0.12438816157294065,0.1329564774757569,nan,0.2435397247523844,0.4916124918774305,1.935005087316577,0.06643532154027793,0.13200751962284976,0.1984628331116915,nan,0.9753577954305169,2.2400880650382637,3.2585060415486153,0.04227466157494264,0.06288546594192676,0.06360224397210047,nan,0.06470165126182469,0.18576944540003165,0.20000001148807195,nan,0.008349903023413326,0.0,0.07999999580897596,nan,0.12865272896958913,0.2655784730215948,0.336632062303404,nan,1.3378028799424666,2.3350259090431265,11.374556483278393,0.0015273162982230026,-0.00579953753669725,-0.004272221238474247,-0.001017788900440204,0.0038601796905495304,-0.015280379069430614,-0.011420199378881083,-0.0027251304895233794,0.0073995903761083295,-0.0006330390728689953,0.006766551303239335,0.0016179320355320323,0.004607700629072474,-0.009261348619481382,-0.004653647990408908,-0.0011071984338741024,0.003459114181892776,-0.012384983453020141,-0.008925869271127367,-0.0021249873444317826,0.003218972459919296,-0.005632992443101106,-0.0024140199831818106,-0.0005711745464171459,0.0,-0.023819296498717814,-0.023819296498717814,-0.005696668714513294,0.0,-0.00024325598531866433,-0.00024325598531866433,-6.324843218951641e-05,0.0036097485568157483,-0.039488848507826316,-0.03587909995101057,-0.008572375848456713
STD_L06_FULL_W05,0.6,north_decel,north,58.432,59.432,125,0.022306811300010977,0.03868496092420088,0.04211216959397899,nan,0.11560395042681741,0.1602244484786586,0.1721120584877342,nan,0.03556594895487341,0.05571901336623616,0.05688304084018661,nan,0.09545102977910198,0.14553656843522145,0.15578530434542226,nan,2.0593217735184703,6.102066056328823,6.948171579877532,0.10421917436011344,0.16754977898811318,0.17328338060519777,nan,1.6919101840433521,5.117117161883287,6.188923061895591,0.037643623847725446,0.05175520378255942,0.05212937107526308,nan,0.10996725663052681,0.192189426046894,0.19480150669425897,nan,0.05248136168030144,0.08000000047829103,0.08000000483653791,nan,0.39736276882755966,0.5946867475269537,0.6394046695866488,nan,3.001325359962252,7.766009564602693,13.05739200193965,0.0008344636454130435,-0.0004748097582196309,0.0003596538871934127,0.00035271762622869575,0.009895295664668133,-0.0029345858058659013,0.006960709858802233,0.006886956738424487,0.0013756002928421325,-0.0015931482949308683,-0.0002175480020887356,-0.00020318805060378509,0.008347847750643319,-0.0016046856452448669,0.006743162105398453,0.006683768923932803,0.00847278872306929,-0.0013699726200720437,0.007102816102997247,0.00703648665358196,0.0014593535361636858,-0.0023078887485898994,-0.0008485352124262133,-0.0008290133720438462,0.0,-0.015102258831728202,-0.015102258831728202,-0.01514358150633052,0.0,-0.005938456518866578,-0.005938456518866578,-0.005938456518866588,0.029349117709789402,-0.014050095764803632,0.01529902194498577,0.015139226422295905
STD_L06_FULL_W05,0.6,east_move,east,64.728,70.928,776,0.022777894125010165,0.04067015761561861,0.05631822157817285,0.0,0.06676913267187287,0.12574155443379983,0.14569846694885888,0.0,0.029683304962127285,0.05162630357017254,0.05883003848524525,0.0,0.05112131645899801,0.09515525040895453,0.12150108972835495,0.0,1.1973267890346802,1.3042464780207172,7.699343630486475,0.05821620940388422,0.11508808680637367,0.1469628826790056,0.0,1.4528542160469389,2.3926270793251194,8.2415903310879,0.0309358873475617,0.05739582291361624,0.05964383304874429,0.0,0.08452204162279266,0.1999999816135185,0.20000001210421517,0.0,0.029369936334375735,0.07999999968484961,0.08000000842571096,0.0,0.24959811656806843,0.5829267623816036,0.734698464919422,0.0,2.2784861018285674,3.0341989319696077,14.35209665180732,0.004295816647250827,-0.005081318359931195,-0.0007855017126803671,-0.0001294163283190657,0.009754343210530052,-0.020022727319559633,-0.010268384109029579,-0.0016639166383046492,0.0107573842005677,-0.002759571765462171,0.007997812435105528,0.0012924686154609465,0.010223867449080522,-0.01249443927181255,-0.0022705718227320278,-0.0003714480470963725,0.011532464362055222,-0.014588537653107764,-0.0030560732910525417,-0.0005008643365633277,0.005779717319821435,-0.006841610454393956,-0.0010618931345725217,-0.0001672108638712833,0.0,-0.057732784433035735,-0.057732784433035735,-0.009315628048232882,1.0003468196376774e-07,-0.012079603586578726,-0.012079503551896763,-0.0019457963195710017,0.05805619512598055,-0.07248080787924774,-0.014424612753267183,-0.002344183581016215
STD_L06_FULL_W05,0.6,east_accel,east,64.728,65.728,126,0.01572069800443193,0.02436115958022156,0.02668510706131661,nan,0.06612378677993472,0.12819703749204753,0.14569846694885888,nan,0.033706063924898964,0.05803075701113736,0.05883003848524525,nan,0.057261230138090854,0.11069549410658883,0.12150108972835495,nan,2.0693676505491005,5.61302295852615,7.055477893809638,0.06269117088625577,0.12963266623208378,0.1469628826790056,nan,2.489218436182544,6.542573700560702,8.2415903310879,0.01448516490817971,0.020396306763081577,0.02226603737839387,nan,0.11559175402469314,0.1999999866503161,0.20000000672644525,nan,0.048362050301112375,0.08000000277609015,0.08000000644150206,nan,0.41503488727593496,0.6836952282057539,0.734698464919422,nan,3.888426688235805,10.050932088119527,14.35209665180732,0.0006921941631735667,-0.0005690714584779873,0.0001231227046955792,0.0001257808430131667,0.004995813288929658,-0.0018956918415496623,0.0031001214473799963,0.003102258489484989,0.0015063762747304357,-0.0014435635313857355,6.281274334470015e-05,5.818681920717363e-05,0.004438669297934697,-0.001275735140355171,0.0031629341575795267,0.0031604452753706412,0.004881901432672786,-0.0015958445457799316,0.0032860568868928537,0.003286226142552637,0.0013118058587824634,-0.0002921083137771352,0.0010196975450053282,0.0010158392797418652,0.0,-0.016925729532726138,-0.016925729532726138,-0.016807356324519903,0.0,-0.005509771702811107,-0.005509771702811107,-0.005486630444740137,0.027432124026119782,-0.020381029707903515,0.007051094318216269,0.007035365039695217
STD_L06_FULL_W05,0.6,east_cruise,east,65.728,69.928,526,0.02417507824193323,0.04285733581961373,0.05631822157817285,nan,0.06777096901007557,0.12722168332630557,0.13871357136039072,nan,0.03012913367458761,0.0511118232445493,0.052697926128226456,nan,0.04849899006325037,0.0938421594593834,0.10900011921407529,nan,0.17842944213481057,0.38444877602167243,0.9670699836332722,0.05419244662155656,0.10312655836519749,0.14390137508438944,nan,0.9619890880497793,2.2041985417901144,3.0308708347932094,0.034608642259754206,0.05856767834253427,0.05964383304874429,nan,0.062153045110620954,0.16976514543717003,0.20000001118776223,nan,0.010890438008483902,0.0,0.08000000314865603,nan,0.11373031308091401,0.24257263907873283,0.3011737517539745,nan,1.1066729473508772,2.3123932851700375,6.966212313710736,0.0016765683427347365,-0.003850341147939643,-0.002173772805204907,-0.0005185662878163485,0.0016283428331950018,-0.015180318161532345,-0.01355197532833734,-0.0032111181148080786,0.007955232321584845,-0.0008677831439417808,0.007087449177643064,0.0016816274963318007,0.0024763931109955638,-0.00894091948748609,-0.006464526376490526,-0.0015294906743275522,0.002164316901704268,-0.010802615952197813,-0.008638299050493545,-0.0020480569309924103,0.003412512635963138,-0.00459220439336059,-0.0011796917573974517,-0.00027834281303998267,0.0,-0.021958263422209738,-0.021958263422209738,-0.005221895531457286,0.0,-0.00032181924826001074,-0.00032181924826001074,-8.140946619461394e-05,0.0026165074071104683,-0.03461298149772397,-0.0319964740906135,-0.007598405060657578
STD_L06_FULL_W05,0.6,east_decel,east,69.928,70.928,126,0.023011730194093225,0.03071349990908312,0.0500927069322954,nan,0.06386372638832968,0.10257838792462551,0.10980358319020124,nan,0.022619421305671638,0.03609106248000509,0.038287513431041635,nan,0.05565910405080063,0.09836115601270042,0.10961592197418213,nan,2.123403068187916,6.065416931388409,7.699343630486475,0.06930606179360427,0.1219492559665581,0.13032476894158201,nan,1.7163725151620903,4.956483559932919,6.462737736320709,0.02625595006956524,0.03504517780154503,0.0361861762065069,nan,0.12054959487366301,0.20000000413632235,0.20000001210421517,nan,0.05029184291742048,0.08000000330385618,0.08000000842571096,nan,0.3972696933459501,0.6709674592273274,0.7294002511533892,nan,3.827491865763973,9.016990131026681,22.125986670074226,0.0019270541413425246,-0.0006619057535135644,0.0012651483878289601,0.0012261120326954931,0.003130187088405392,-0.002946717316477625,0.00018346977192776651,0.0001340936772911456,0.0012957756042524177,-0.0004482250901346547,0.0008475505141177631,0.0008592545802876264,0.0033088050401502605,-0.002277784643971289,0.0010310203961789713,0.0009933483617565178,0.004486246027678169,-0.002190077155130018,0.002296168872548151,0.002219460478593805,0.0010553988250758335,-0.0019572977472562315,-0.0009018989221803982,-0.0008678538685657374,0.0,-0.01884879147809987,-0.01884879147809987,-0.0187961259782588,1.0003468196376774e-07,-0.006248012635507609,-0.006247912600825646,-0.006198325992882597,0.0280075636927503,-0.01748679667362025,0.01052076701913005,0.010292320563051377
STD_L06_FULL_W05,0.6,south_move,south,76.232,82.432,776,0.027091872837592613,0.05491474388747299,0.08542946754880401,0.0,0.10142688555978822,0.17670810608376009,0.2621571112594144,0.0,0.03735484913365095,0.06579988862349395,0.0915524453289325,0.0,0.07647588004676474,0.15159194146083824,0.18914874801685655,0.0,1.1860492571652064,1.2985604115586185,7.123296826498756,0.08270579127083325,0.177971186078057,0.23246499859790312,0.0,1.4449814585203264,2.3549026991470634,8.33607640887539,0.03925476390174064,0.05874031121968816,0.06201752622140525,0.0,0.08405492348198296,0.1999999917096633,0.200000009276349,0.0,0.02926492459858449,0.0799999993203726,0.0800000087312284,0.0,0.2749333765392467,0.6164883398436288,0.8000000867328113,0.0,2.2837331948085144,3.0311598306772396,14.56428892986961,0.006746606525004676,-0.006791498732023712,-4.489220701903575e-05,-1.1109948815732723e-05,0.026577933063495686,-0.0281476460107953,-0.0015697129472996164,-0.0002668901351709296,0.012140686756363726,-0.0035834114041354012,0.008557275352228323,0.0013801524363883538,0.023675187676186475,-0.016687624981634747,0.006987562694551727,0.0011132623470759804,0.025417851196060947,-0.018475181081879923,0.006942670114181024,0.001102152339066837,0.009619648238100131,-0.0092088040972285,0.00041084414087162865,6.723400080020547e-05,0.0,-0.057587710644887324,-0.057587710644887324,-0.009288248162977618,2.6402768344267225e-06,-0.012212219125096445,-0.012209578848262018,-0.0019667491701453005,0.06512749456227913,-0.0776038800650534,-0.01247638550277427,-0.002036740222942776
