mode,attempt,window,direction,component,positive_integral,negative_integral,net_integral,mean_power,acceleration_band_055_075_energy,note
STD_L06_FULL_W05,1,route,all,position,0.03711081140522414,-0.05137471830422548,-0.014263906899001338,-0.00025198937831168074,9.214700336945876e-06,
STD_L06_FULL_W05,1,route,all,tracking,0.09335582669125578,-0.16482238890064943,-0.07146656220939365,-0.0012705950156993375,0.0008993050245790796,
STD_L06_FULL_W05,1,route,all,observer_error,0.07661490855756234,-0.013017548378445758,0.06359736017911657,0.0011314556553352552,0.0001851086106716767,
STD_L06_FULL_W05,1,route,all,velocity_total,0.09249906657543422,-0.10036826948200514,-0.00786920290657091,-0.0001391393754764773,0.0004461170137388398,
STD_L06_FULL_W05,1,route,all,nominal,0.09513654351107675,-0.1172696536025237,-0.02213311009144694,-0.0003911287586935491,0.0004230846106689358,
STD_L06_FULL_W05,1,route,all,z3,0.047999170009556336,-0.04627219440758199,0.0017269756019743449,3.192406014995564e-05,3.314366000149965e-05,
STD_L06_FULL_W05,1,route,all,as,0.0,-0.3220770667090818,-0.3220770667090818,-0.005727596040868832,0.0021456712512309007,
STD_L06_FULL_W05,1,route,all,pas,6.561970629263955e-06,-0.04720650316208587,-0.0471999411914566,-0.0008403366420851663,6.418406994680724e-05,
STD_L06_FULL_W05,1,route,all,final,0.27429492529078936,-0.43079783077277567,-0.15650290548198625,-0.00277222274950047,0.00102074365090438,
STD_L06_FULL_W05,1,north_move,north,position,0.007321168036567776,-0.00797311162135702,-0.0006519435847892438,-0.00010742482222552895,0.0,
STD_L06_FULL_W05,1,north_move,north,tracking,0.010937629190477343,-0.017350155268710372,-0.006412526078233028,-0.0010312373410567973,0.0,
STD_L06_FULL_W05,1,north_move,north,observer_error,0.00805196723213886,-0.0011328743536914757,0.006919092878447385,0.0011147206933430254,0.0,
STD_L06_FULL_W05,1,north_move,north,velocity_total,0.013355070260885003,-0.0128485040838787,0.0005065661770063045,8.348325110333523e-05,0.0,
STD_L06_FULL_W05,1,north_move,north,nominal,0.016509581476653767,-0.016654958823335713,-0.00014537734668194566,-2.394156104297148e-05,0.0,
STD_L06_FULL_W05,1,north_move,north,z3,0.007135700079546958,-0.006956642808319877,0.0001790572712270812,3.0833623046012414e-05,0.0,
STD_L06_FULL_W05,1,north_move,north,as,0.0,-0.051375945852918325,-0.051375945852918325,-0.008270156450705802,0.0,
STD_L06_FULL_W05,1,north_move,north,pas,1.9272684876343513e-06,-0.011058308576029963,-0.011056381307542329,-0.0017764249082142143,0.0,
STD_L06_FULL_W05,1,north_move,north,final,0.06611530791241321,-0.07053338919267142,-0.0044180812802581924,-0.000691013640760262,0.0,
STD_L06_FULL_W05,1,north_accel,north,position,0.0023728376644285266,-0.0008209642674773942,0.0015518733969511322,0.0015445798554494451,,
STD_L06_FULL_W05,1,north_accel,north,tracking,0.0027166015268885787,-0.0013878348240687248,0.0013287667028198554,0.0013312321165618154,,
STD_L06_FULL_W05,1,north_accel,north,observer_error,0.0012622358134540292,-0.0004724208440893562,0.000789814969364673,0.0007841438380291081,,
STD_L06_FULL_W05,1,north_accel,north,velocity_total,0.0030386915669660284,-0.000920109915197837,0.002118581651768191,0.002115375943547059,,
STD_L06_FULL_W05,1,north_accel,north,nominal,0.005064930656153646,-0.001394475513458054,0.003670455142695592,0.0036599558898016103,,
