mode,rope_length_m,window,direction,start_boot_s,end_boot_s,sample_count,a_position_rms_m_s2,a_position_p95_m_s2,a_position_peak_m_s2,a_position_band_055_075_energy,a_tracking_rms_m_s2,a_tracking_p95_m_s2,a_tracking_peak_m_s2,a_tracking_band_055_075_energy,a_observer_error_rms_m_s2,a_observer_error_p95_m_s2,a_observer_error_peak_m_s2,a_observer_error_band_055_075_energy,a_velocity_total_rms_m_s2,a_velocity_total_p95_m_s2,a_velocity_total_peak_m_s2,a_velocity_total_band_055_075_energy,a_velocity_total_jerk_rms_m_s3,a_velocity_total_jerk_p95_m_s3,a_velocity_total_jerk_peak_m_s3,a_nominal_rms_m_s2,a_nominal_p95_m_s2,a_nominal_peak_m_s2,a_nominal_band_055_075_energy,a_nominal_jerk_rms_m_s3,a_nominal_jerk_p95_m_s3,a_nominal_jerk_peak_m_s3,a_z3_rms_m_s2,a_z3_p95_m_s2,a_z3_peak_m_s2,a_z3_band_055_075_energy,a_as_rms_m_s2,a_as_p95_m_s2,a_as_peak_m_s2,a_as_band_055_075_energy,a_pas_rms_m_s2,a_pas_p95_m_s2,a_pas_peak_m_s2,a_pas_band_055_075_energy,a_final_rms_m_s2,a_final_p95_m_s2,a_final_peak_m_s2,a_final_band_055_075_energy,a_final_jerk_rms_m_s3,a_final_jerk_p95_m_s3,a_final_jerk_peak_m_s3,p_position_positive_integral,p_position_negative_integral,p_position_net_integral,p_position_mean,p_tracking_positive_integral,p_tracking_negative_integral,p_tracking_net_integral,p_tracking_mean,p_observer_error_positive_integral,p_observer_error_negative_integral,p_observer_error_net_integral,p_observer_error_mean,p_velocity_total_positive_integral,p_velocity_total_negative_integral,p_velocity_total_net_integral,p_velocity_total_mean,p_nominal_positive_integral,p_nominal_negative_integral,p_nominal_net_integral,p_nominal_mean,p_z3_positive_integral,p_z3_negative_integral,p_z3_net_integral,p_z3_mean,p_as_positive_integral,p_as_negative_integral,p_as_net_integral,p_as_mean,p_pas_positive_integral,p_pas_negative_integral,p_pas_net_integral,p_pas_mean,p_final_positive_integral,p_final_negative_integral,p_final_net_integral,p_final_mean,attempt,run_dir
STD_L06_FULL_W05,0.6,route,all,49.268,105.468,7021,0.030045433119756805,0.05567918423465591,0.08637126033495036,9.214700336945876e-06,0.08208461728989701,0.1664255838062404,0.23256738418637105,0.0008993050245790796,0.032476436340782455,0.060449983738182216,0.08909204839833271,0.0001851086106716767,0.06106710960412313,0.12661003503850798,0.18553790846126364,0.0004461170137388398,0.8288938451161102,1.0455384572032396,15.54231968458819,0.0644091970955815,0.13836058815381796,0.22454052322654397,0.0004230846106689358,1.0073186950220778,2.0464867328110965,16.563401205492195,0.0352932295957077,0.06386524140436539,0.0745006713763813,3.314366000149965e-05,0.06568890279991672,0.17857278056677886,0.20000001540036608,0.0021456712512309007,0.019721832759209527,0.07999999172513798,0.08000000759911562,6.418406994680724e-05,0.19630946268187863,0.4839061655770092,0.8000000897095795,0.00102074365090438,1.633266179803802,2.252883371537421,42.07334819573862,0.03711081140522414,-0.05137471830422548,-0.014263906899001338,-0.00025198937831168074,0.09335582669125578,-0.16482238890064943,-0.07146656220939365,-0.0012705950156993375,0.07661490855756234,-0.013017548378445758,0.06359736017911657,0.0011314556553352552,0.09249906657543422,-0.10036826948200514,-0.00786920290657091,-0.0001391393754764773,0.09513654351107675,-0.1172696536025237,-0.02213311009144694,-0.0003911287586935491,0.047999170009556336,-0.04627219440758199,0.0017269756019743449,3.192406014995564e-05,0.0,-0.3220770667090818,-0.3220770667090818,-0.005727596040868832,6.561970629263955e-06,-0.04720650316208587,-0.0471999411914566,-0.0008403366420851663,0.27429492529078936,-0.43079783077277567,-0.15650290548198625,-0.00277222274950047,1,/home/lst/PX4-Autopilot/build/zd680_w10_causal_20260721_110302/runs/STD_L06_FULL_W05/2026-07-21/position_offboard_20260721_110350
STD_L06_FULL_W05,0.6,north_move,north,54.5,60.748000000000005,778,0.038772773911393575,0.05614235727610514,0.07545083149306629,0.0,0.08763598582037035,0.15951241702091087,0.18693062806745517,0.0,0.031017840811532787,0.05848838914696793,0.06435836724304576,0.0,0.0720627674235482,0.1335456081279276,0.14995036407731605,0.0,1.1720816692998046,1.2952644249796141,7.060828564785642,0.08244216710292789,0.14336403175407852,0.1710380670848254,0.0,1.4886034245615958,2.4065907127787485,8.384685031807225,0.04438260607391665,0.06750786777864969,0.0688549124478114,0.0,0.08050144489571949,0.18785325398628985,0.20000000904425758,0.0,0.028893217232153882,0.07999999903976221,0.08000000759911562,0.0,0.28164829099093436,0.6416798338621303,0.8000000544524154,0.0,2.245858018181598,3.1779379317980117,15.095436174757728,0.007321168036567776,-0.00797311162135702,-0.0006519435847892438,-0.00010742482222552895,0.010937629190477343,-0.017350155268710372,-0.006412526078233028,-0.0010312373410567973,0.00805196723213886,-0.0011328743536914757,0.006919092878447385,0.0011147206933430254,0.013355070260885003,-0.0128485040838787,0.0005065661770063045,8.348325110333523e-05,0.016509581476653767,-0.016654958823335713,-0.00014537734668194566,-2.394156104297148e-05,0.007135700079546958,-0.006956642808319877,0.0001790572712270812,3.0833623046012414e-05,0.0,-0.051375945852918325,-0.051375945852918325,-0.008270156450705802,1.9272684876343513e-06,-0.011058308576029963,-0.011056381307542329,-0.0017764249082142143,0.06611530791241321,-0.07053338919267142,-0.0044180812802581924,-0.000691013640760262,1,/home/lst/PX4-Autopilot/build/zd680_w10_causal_20260721_110302/runs/STD_L06_FULL_W05/2026-07-21/position_offboard_20260721_110350
STD_L06_FULL_W05,0.6,north_accel,north,54.5,55.5,126,0.035417837426865086,0.047291959531446125,0.05286202963722797,,0.052875159685021815,0.08894768493682742,0.11359327253139725,,0.02974919252420282,0.046366353088564474,0.047614558793965436,,0.04253197945678006,0.08541823573709538,0.09509542338101357,,2.0571177322461445,5.990855850484287,7.060828564785642,0.06669942705869697,0.12271398327811912,0.1415876965374888,,2.4746937714603425,7.15814006992084,8.384685031807225,0.03887591451812155,0.04944973340085842,0.0495361905566081,,0.09992776703656749,0.18548011845035006,0.19166556353181854,,0.04692183715040201,0.08000000305243989,0.0800000061627441,,0.46576895789762707,0.7081163917094837,0.8000000544524154,,3.826235832937385,11.458141384371919,15.095436174757728,0.0023728376644285266,-0.0008209642674773942,0.0015518733969511322,0.0015445798554494451,0.0027166015268885787,-0.0013878348240687248,0.0013287667028198554,0.0013312321165618154,0.0012622358134540292,-0.0004724208440893562,0.000789814969364673,0.0007841438380291081,0.0030386915669660284,-0.000920109915197837,0.002118581651768191,0.002115375943547059,0.005064930656153646,-0.001394475513458054,0.003670455142695592,0.0036599558898016103,0.003304345975397162,-0.0007399436056148242,0.002564402369782338,0.0025512340783727327,0.0,-0.012693114600168443,-0.012693114600168443,-0.012599528435551685,0.0,-0.0049421452134847796,-0.0049421452134847796,-0.0049179012735655146,0.030506460849195803,-0.016601637721993114,0.013904823127202693,0.013835908967949864,1,/home/lst/PX4-Autopilot/build/zd680_w10_causal_20260721_110302/runs/STD_L06_FULL_W05/2026-07-21/position_offboard_20260721_110350
STD_L06_FULL_W05,0.6,north_cruise,north,55.5,59.748000000000005,529,0.038931520345097774,0.05848645674707319,0.07545083149306629,,0.09665321983207849,0.17339358075337866,0.18693062806745517,,0.03323881946149214,0.06085875813915092,0.06435836724304576,,0.07580539337936873,0.1412679104337839,0.14995036407731605,,0.3092450061296964,0.44559159917812236,3.291097327871454,0.07837833159734574,0.13191232602234687,0.15376750981481524,,1.0700730588552374,2.257454676978353,6.806020995877225,0.04948379065514586,0.06821361134719478,0.0688549124478114,,0.06094218288392475,0.16293854112784825,0.20000000904425758,,0.00942539029014771,0.0,0.08000000113282513,,0.14755440787571147,0.25613742684986335,0.45413518646504164,,1.5570382698753802,2.3236351565779825,13.31877482040752,0.0016751804971902352,-0.005746998459746449,-0.004071817962556215,-0.0009558315563758426,0.0046882455578015625,-0.012707343414573184,-0.008019097856771623,-0.0018938770337359574,0.0046601068402233065,-0.000584751853174565,0.004075354987048741,0.000965468695460738,0.005621940498480851,-0.009565683847649775,-0.003943743349168926,-0.000928408447564805,0.004093136705501831,-0.012108698061569159,-0.008015561356067328,-0.0018842400149715482,0.003047180668661892,-0.006216699202705053,-0.0031695185340431613,-0.000742506458244636,0.0,-0.020456170146294646,-0.020456170146294646,-0.004835677763468836,4.366059147287843e-07,-0.0002138697204936665,-0.00021343311457893772,-5.402166966710016e-05,0.003361311966503106,-0.03690578983131853,-0.033544477864815424,-0.007935345619797973,1,/home/lst/PX4-Autopilot/build/zd680_w10_causal_20260721_110302/runs/STD_L06_FULL_W05/2026-07-21/position_offboard_20260721_110350
STD_L06_FULL_W05,0.6,north_decel,north,59.748000000000005,60.748000000000005,124,0.041280226485090936,0.05324939600549184,0.05542318574877554,,0.07445374779007462,0.10756732894489354,0.11742149264501323,,0.020673312241366697,0.030385881328737523,0.03070823992246063,,0.07925235034949316,0.12495550193891644,0.1351917465071994,,1.97804831541212,5.811057384527628,6.835518458921529,0.10961625415161819,0.16104224738095463,0.1710380670848254,,1.673324763642041,4.473141117933069,5.976148029006141,0.019886369801492814,0.02788369572648823,0.03202045466076248,,0.12116408927427558,0.19999999719014497,0.20000000587606664,,0.0517035676133441,0.08000000256796573,0.08000000759911562,,0.42994182247325746,0.6771337893363772,0.7493457291635468,,2.5354523774443325,6.60892553082997,8.994943343884753,0.003273149874949014,-0.0013994956601673149,0.0018736542147816991,0.0018471358231152172,0.003532782105787201,-0.0032249020238814888,0.0003078800819057124,0.00028277418574185914,0.002129624578461526,-7.440843275617174e-05,0.0020552161457053544,0.0020816546937075762,0.004694438195438126,-0.0023313420998747757,0.0023630960955633496,0.0023644287406158026,0.00735151411499829,-0.0031147637957474696,0.004236750319250822,0.004211564577065386,0.0007748789921897698,0.0,0.0007748789921897698,0.000786124646428136,0.0,-0.01820296492043427,-0.01820296492043427,-0.01847070824970292,1.4906625729055669e-06,-0.005902293642051518,-0.005900802979478613,-0.00594839010028086,0.03224753509671431,-0.016725458474829872,0.015522076621884442,0.015550139172597894,1,/home/lst/PX4-Autopilot/build/zd680_w10_causal_20260721_110302/runs/STD_L06_FULL_W05/2026-07-21/position_offboard_20260721_110350
STD_L06_FULL_W05,0.6,east_move,east,66.048,72.24,774,0.03377621816333419,0.05242242481727317,0.07030351041431511,0.0,0.10044853669360461,0.16779893390396639,0.23256738418637105,0.0,0.0383108120333941,0.056681339461762306,0.07854518850348165,0.0,0.07874532388816158,0.1359015970683927,0.16141622557215024,0.0,1.1921216179278755,1.3818491578217942,7.178330669171011,0.08764835645164534,0.15528153607844056,0.1835640295253582,0.0,1.4514022403238136,2.387586710104434,7.906434974743575,0.044756571134876584,0.07104004543805266,0.07293035782433155,0.0,0.08914336764877667,0.19999999507307134,0.20000001228124187,0.0,0.029732099051003665,0.07999999871192742,0.08000000721294072,0.0,0.2891297546127294,0.6623518517448772,0.8000000733948186,0.0,2.211882972202567,2.8687175577337527,15.98856931893876,0.005826322625252021,-0.006085530432356392,-0.0002592078071043699,-3.280420712920825e-05,0.02055076281651036,-0.02370941944797221,-0.0031586566314618456,-0.000512366734323486,0.01219201449437786,-0.0016377402085436122,0.01055427428583425,0.0016996188337901964,0.021806906752353653,-0.01441128887945514,0.007395617872898515,0.0011872521396842372,0.024418492793294472,-0.01728208315116343,0.0071364096421310495,0.0011544478647262154,0.009148424271996188,-0.0073173907539317,0.0018310335180644895,0.00030645109763790396,0.0,-0.06416041152875362,-0.06416041152875362,-0.01032632467344862,1.941734750289155e-06,-0.01307139840387388,-0.01306945666912359,-0.0021107003664605313,0.07297718152039795,-0.0826598300512486,-0.009682648530850654,-0.0015155678620188129,1,/home/lst/PX4-Autopilot/build/zd680_w10_causal_20260721_110302/runs/STD_L06_FULL_W05/2026-07-21/position_offboard_20260721_110350
STD_L06_FULL_W05,0.6,east_accel,east,66.048,67.048,126,0.026446397216034666,0.04352114368605295,0.04957737399594729,,0.1087754610173143,0.1924090218033877,0.23256738418637105,,0.04083176873764557,0.0774595952918946,0.07854518850348165,,0.08286105760730253,0.1331672010339098,0.15861451932989967,,2.0634024879072155,5.8381156429584316,6.6084495202767215,0.10348558422593827,0.16039018634721472,0.18172113675813628,,2.482556528171125,6.805319114516223,7.906434974743575,0.04157696797017278,0.054187670726352374,0.05434174734471775,,0.1232283757850471,0.20000000285867695,0.20000000789121872,,0.04675872513682917,0.08000000119984743,0.08000000502888423,,0.5119511807471939,0.7999999978008068,0.8000000733948186,,3.6648224565960703,6.512477840483045,15.98856931893876,0.0025312882649086376,-0.00024615991461904513,0.002285128350289593,0.0022747662100199603,0.005670098121627143,-0.006392884546526941,-0.0007227864248997963,-0.0006960188724521671,0.003508201901117,-0.0006210698636423318,0.002887132037474668,0.0028678292992481147,0.005844947788907946,-0.0036806023010066092,0.0021643454879013376,0.002171810312120215,0.008331749843418843,-0.0038822760236797422,0.004449473819739102,0.004446576505162941,0.004485962584352833,-0.00043528862028324115,0.004050673964069592,0.004028501755119433,0.0,-0.01967050170980022,-0.01967050170980022,-0.019534376040033812,0.0,-0.0059610980935394875,-0.0059610980935394875,-0.005938667332797888,0.035884851283626625,-0.02748738469654185,0.008397466587084788,0.008379473951677822,1,/home/lst/PX4-Autopilot/build/zd680_w10_causal_20260721_110302/runs/STD_L06_FULL_W05/2026-07-21/position_offboard_20260721_110350
STD_L06_FULL_W05,0.6,east_cruise,east,67.048,71.24,524,0.03636385520613088,0.05382690154297393,0.07030351041431511,,0.09027822372823052,0.16127416394443042,0.17461814061525102,,0.03888992699631022,0.05641971020922051,0.05677495217200406,,0.06638411718574398,0.1288533981026606,0.13771838173569675,,0.2449224936784568,0.41864282411380654,1.9322996150466007,0.06852000788641886,0.11781874476150173,0.13556470770720377,,0.972748642501787,2.252982307851829,3.192156067033743,0.046735627305804814,0.07205498481048092,0.07293035782433155,,0.0677031603016596,0.1793457820747721,0.20000000913355606,,0.011627376363242308,0.0,0.08000000424927671,,0.1338585015427058,0.2515720986038841,0.3038260973814656,,1.3342464201586892,2.333834950873753,11.392927520261475,0.0014026487738437814,-0.00530605151897962,-0.0039034027451358387,-0.0009073342241007037,0.004473916968625371,-0.013684844577859621,-0.009210927609234249,-0.0021789725971804296,0.006911365766065497,-0.0003519330826038623,0.006559432683461634,0.0015555379226973765,0.005734283299207119,-0.008385778113923156,-0.0026514948147160363,-0.0006234346387706329,0.004177550207095821,-0.010732448074180919,-0.006554897867085099,-0.0015307689333846214,0.003503836064664922,-0.005886523806053902,-0.0023826877413889802,-0.0005482604007465548,0.0,-0.0257706344619555,-0.0257706344619555,-0.006077984035365992,0.0,-0.00045357399634664416,-0.00045357399634664416,-0.00011418238889968302,0.002786486497932218,-0.038379599500171106,-0.03559311300223889,-0.00837722554989114,1,/home/lst/PX4-Autopilot/build/zd680_w10_causal_20260721_110302/runs/STD_L06_FULL_W05/2026-07-21/position_offboard_20260721_110350
STD_L06_FULL_W05,0.6,east_decel,east,71.24,72.24,126,0.028764937780426113,0.04661499937637271,0.048037143095666146,,0.1283254505183721,0.16374897939317434,0.18521802339801763,,0.03275006221859534,0.05292218315043014,0.054230593809141234,,0.11425049384162239,0.1504553820606631,0.16141622557215024,,2.055612496401117,5.93311873035142,7.178330669171011,0.13091582350788042,0.17544268716750078,0.1835640295253582,,1.6875867388498695,5.197842849139242,6.398038795206543,0.039060035053575,0.04188683785694031,0.043353866203149516,,0.12082950428539145,0.20000000202306423,0.20000001228124187,,0.052272782183861596,0.08000000229638711,0.08000000721294072,,0.4218495430988087,0.6470883642318672,0.6931825271708295,,3.036801163954845,7.5351652391485615,13.713891258981056,0.0018923855864996018,-0.0005333189987577259,0.0013590665877418757,0.0013243789563415385,0.010406747726257846,-0.003631690323585645,0.006775057402672201,0.0066302490805456825,0.0017724468271953654,-0.0006647372622974181,0.0011077095648979473,0.001119217558349798,0.01022767566423859,-0.0023449084645253758,0.007882767199713212,0.007749466868734176,0.01190919274277981,-0.002667359053302768,0.009241833689477045,0.009073845720483824,0.0011586256229784342,-0.0009955783275945563,0.0001630472953838779,0.00018026754023883277,0.0,-0.018719275356997907,-0.018719275356997907,-0.01866740132093597,1.941734750289155e-06,-0.006656726313987747,-0.006654784579237458,-0.006601968828608589,0.034305843738839104,-0.016792845854535658,0.017512997884303445,0.01713700394057447,1,/home/lst/PX4-Autopilot/build/zd680_w10_causal_20260721_110302/runs/STD_L06_FULL_W05/2026-07-21/position_offboard_20260721_110350
STD_L06_FULL_W05,0.6,south_move,south,77.54,83.74,775,0.032142353780260036,0.06549050091275616,0.08637126033495036,0.0,0.1024279926889707,0.1942101566807275,0.21417348243971165,0.0,0.036037788953068375,0.07391164095189912,0.08909204839833271,0.0,0.07687961570359042,0.1430885534644464,0.1803565048020248,0.0,1.1931209204619448,1.2714479267810297,7.7089158418419546,0.08214777886785393,0.17059192689854097,0.22454052322654397,0.0,1.45456166930672,2.3338270990007515,9.225451701420326,0.04407527942754998,0.07006502722567391,0.0745006713763813,0.0,0.08461833867866891,0.1972628334418275,0.20000001540036608,0.0,0.029138782036018968,0.07999999904151255,0.0800000058135998,0.0,0.28289043835939326,0.6451020796769386,0.8000000897095795,0.0,2.2473003914085257,3.199119784368267,15.337707260445,0.007207371615788478,-0.008012705019947122,-0.0008053334041586437,-0.00013379747813125446,0.026268967435660623,-0.02595551082526788,0.0003134566103927426,3.433770283634423e-05,0.010979628761555189,-0.002969772892660781,0.00800985586889441,0.0012953567875562415,0.0238539003444384,-0.015530588010300462,0.008323312334137932,0.0013296944660613653,0.025010627905212517,-0.017492649064639286,0.0075179788405732376,0.0011958969738289822,0.010562772664052316,-0.009876930571939745,0.0006858420921125714,0.00011171680538433476,0.0,-0.058505206032092194,-0.058505206032092194,-0.009451546617861647,1.0002177732529198e-06,-0.012177893705314954,-0.0121768934875417,-0.001964015078635766,0.07229836825684469,-0.07184049615146772,0.00045787210537697257,4.3044130916607704e-05,1,/home/lst/PX4-Autopilot/build/zd680_w10_causal_20260721_110302/runs/STD_L06_FULL_W05/2026-07-21/position_offboard_20260721_110350
